can_nam,can_off,can_off_sta,can_par_aff,can_inc_cha_ope_sea,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,tot_con,tot_rec,ope_exp,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,winner
"SWINTON, JONATHAN JEFFREY",S,UT,DEM,CHALLENGER,16455,3644,20099,,,30631,45255,30630,,,45254,,,30631,30630,
"SZELIGA, KATHY",S,MD,REP,OPEN,980975,343466,1324442,3440,149324,1477206,1479213,1210165,15950,100,1226215,,252998,1461256,1208158,
"TACHERRA, JOHNNY",H,CA,REP,CHALLENGER,408148,46938.5,455086.5,2700,26200,485811.5,489133.08,442681.16,,10582.09,474344.71,1747.43,16535.8,485811.5,442454.29,
"TADDEO, ANNETTE",H,FL,DEM,CHALLENGER,1007564.49,338850.42,1346414.91,5100,186278.21,1550694.44,1673273.45,1445874.39,19475.47,1500,1466849.86,,206423.59,1531218.97,1445443.08,
"TAGER, ROBERT MATTHEW",H,FL,DEM,CHALLENGER,6318,,4858,,0.7,6318,46318,38512,,,38512,,7804,4858,31730,
"TAGERT, MIKE",H,MS,REP,OPEN,439600,19055,458655,,22700,481355,481355,444649.78,29870,,474519.78,,6835.22,451485,444649.78,
"TAKANO, MARK",H,CA,DEM,INCUMBENT,613695.92,86584.82,700280.74,32.14,296500,996812.88,1007733.01,596311.08,7816.41,152885.38,760477.87,39932.84,287187.98,988996.47,593180.82,Y
"TAMS, MICHAEL A",H,IL,REP,CHALLENGER,3200,512,3712,,,5130.81,25214.69,12375.72,,,25214.69,,,5130.81,12291.84,
"TANZLER, HANS MR. III",H,FL,REP,OPEN,408986,9520,418506,,7000,430384.68,834250.36,817150.36,17100,,834250.36,,,413284.68,813784.68,
"TARBELL, BILL",S,NV,REP,OPEN,,165,165,,,165,42896,42896,,,42896,,,165,42896,
"TARKANIAN, DANNY",H,NV,REP,OPEN,1297940.54,38323.63,1336264.17,10000,262150,1638875.89,1741489.87,1446643.28,35575,34.48,1482252.76,,259237.11,1603300.89,1446605.89,
"TAUB, H. RUSSELL",H,RI,REP,CHALLENGER,66236.59,22146.09,88382.68,,,89307.68,89307.68,73536.84,,1089.74,74626.58,-29.9,15822.2,89307.68,73536.84,
"TAYLOR, DWAYNE L",H,FL,DEM,CHALLENGER,14600,2486.56,17086.56,,7000,24086.56,24299.36,19009.19,,4162.34,23171.53,,3753.2,24086.56,19009.19,
"TAYLOR, JAMES",H,OK,REP,CHALLENGER,8100,6991,15091,,,15091,18591,14494.35,,,15044.35,,3546.65,15091,14494.35,
"TAYLOR, KERITH STRANO",H,PA,DEM,CHALLENGER,67348.08,31653.53,99001.61,,2000,101148.61,101148.61,77314.34,,,77314.34,4864.82,28699.09,101148.61,77314.34,
"TAYLOR, PRISCILLA ANN",H,FL,DEM,OPEN,149690,5679,155369,,8150,163619,163619,88210.22,39930,8115,136255.22,,27363.78,123689,88210.22,
"TAYLOR, SCOTT",H,VA,REP,OPEN,366909,61342.32,428251.32,5000,233349.95,666601.27,704733.27,447122.97,1000,14299.94,482422.91,,222310.36,665601.27,447122.97,Y
"TEACHOUT, ZEPHYR",H,NY,DEM,OPEN,1592361.28,2002133.64,3594494.92,7281.64,291518.66,3893295.22,3894295.22,2393048.9,29297.01,,2422345.91,,1471949.31,3863998.21,2392048.9,
"TEIJEIRO, ANNETTE",H,NV,REP,OPEN,25220.48,16131.08,41351.56,,5075,46457.67,150819.76,46779.68,,,46779.68,-6393.23,97636.08,46457.67,46779.68,
"TENG, CHIA-CHI",H,UT,REP,CHALLENGER,26159,5233.44,31392.44,,,31392.44,542438.63,542438.63,,,542438.63,,,31392.44,542438.63,
"TENNEY, CLAUDIA",H,NY,REP,OPEN,420587.91,54654.87,475242.78,250,189185,664677.78,725135.73,604453.09,1200,,607653.09,4544.55,122027.19,663477.78,604453.09,Y
"TESENY, PAUL ANTHONY MR",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"THERON, DANIEL PETER",H,WI,REP,CHALLENGER,15511.48,10533.51,26044.99,,250,26294.99,40294.99,36581.72,,,40621.72,2204.36,1877.63,26294.99,36581.72,
"THOMAS, EVAN CHARLES",H,CA,DEM,CHALLENGER,4500,688.97,5188.97,,,5330.18,10530.18,6833.9,1820,,12153.9,3046,1423.08,3510.18,6633.9,
"THOMAS, KATHLEEN",H,TX,DEM,CHALLENGER,30489,21950.64,52439.64,6540,900,59879.64,60885.67,32480.95,,290,32770.95,,28114.72,59879.64,31474.92,
"THOMAS, MARY",H,FL,REP,OPEN,784862.62,180025.13,964887.75,,77439.97,1050597.52,1095597.52,1032317.05,50,,1032367.05,,63230.47,1050547.52,1032317.05,
"THOMPSON, ANDREW",H,IN,LIB,CHALLENGER,8736.24,1985.26,10721.5,,,10772.5,16297.37,17433.2,,29.32,18212.52,3034.41,2545.75,10772.5,17433.2,
"THOMPSON, BENNIE G.",H,MS,DEM,INCUMBENT,103651.87,10475.96,114127.83,,808666.87,922794.7,925820.94,761482.51,,47875,809357.51,1256540.21,1373003.64,922794.7,761265.17,Y
"THOMPSON, GERALDINE F.",H,FL,DEM,CHALLENGER,92622.45,34137.5,126759.95,,5000,136108.61,202108.61,199048.92,,,202108.61,,,136108.61,199048.92,
"THOMPSON, GLENN MR",H,PA,REP,INCUMBENT,610395,64994.7,675389.7,,444838.3,1120228,1145749.9,1035565.62,3918.95,,1095484.57,310510.49,360775.82,1116309.05,1034615.62,Y
"THOMPSON, KIRK WAYNE",H,CA,REP,CHALLENGER,,,,,,,,,,,,,,,,
"THOMPSON, MIKE MR.",H,CA,DEM,INCUMBENT,574132.4,86464.62,660597.02,61.97,1186131.06,1846790.05,1865866.37,1219377.05,4051,475342.95,1698771,1476181.68,1643277.05,1842739.05,1215624.93,Y
"THORNBERRY, MAC",H,TX,REP,INCUMBENT,855864.82,30242.23,886107.05,,864226.69,1750333.74,1753875.16,776570.28,2700,15550,1561320.28,378439.54,570994.42,1747633.74,775944.9,Y
"THORNTON, ALVIN",H,MD,DEM,OPEN,8400,4124,12524,,,12624,20624,15448.82,,5020.66,20469.48,,124.52,12624,15448.82,
"THREATT, ARCHIE LEON",H,NC,REP,CHALLENGER,17073,8819,25892,1500,1000,30523.75,30523.75,29252.3,,,29252.3,27.74,1299.19,30523.75,29252.3,
"THRONE-HOLST, ANNA",H,NY,DEM,CHALLENGER,2712933.62,421791.03,3134724.65,,375341.22,3510065.87,3523298.98,2981861.99,20792.56,1450,3004104.55,,519194.43,3489273.31,2981861.99,
"THUNE, JOHN",S,SD,REP,INCUMBENT,2021844,188073,2209918,,2281972,4491890,5009628,1962786,31865,2006030,4000681,9715362,10724307,4460025,1953970,Y
"THURGOOD, KEITH LEE",H,TX,REP,CHALLENGER,3950,1584.1,5534.1,,,5560.1,8685.1,6300.46,,2205.9,11631.36,,-4160.24,5560.1,6300.46,
"TIBERI, PATRICK J.",H,OH,REP,INCUMBENT,1500081.69,62550.6,1562632.29,,2699015,4261647.29,4280521.38,1319059.81,2800,258708.67,1580568.48,2501982.76,5201935.66,4258847.29,1318584.81,Y
"TIPTON, SCOTT R.",H,CO,REP,INCUMBENT,835589.46,75672.11,911261.57,400,715405.08,1627066.65,1636136.97,1538440.2,10600,23000,1572040.2,175450.52,239547.29,1616466.65,1529369.88,Y
"TITUS, DINA",H,NV,DEM,INCUMBENT,394435.2,22105.71,416540.91,,463324.42,879865.33,880491.35,491657.23,3550,210658,730865.23,128448.5,278074.62,876315.33,491031.21,Y
"TOKAR, JEFF",H,TX,REP,CHALLENGER,6350,2514,8864,,,10214,10214,2569.86,7514,,10083.86,,130.14,2700,2569.86,
"TOM, KIP E",H,IN,REP,OPEN,695122,35790,730912,,111336.47,842248.47,992262.07,955064.39,26436.47,,992262.07,,,815812,955064.39,
"TOMASZEWSKI, SCOT JOHN",H,NJ,IND,CHALLENGER,,,,,,,4992,301442,,,4992,,,,,
"TOMKINS, ANTHONY DAVID",H,ID,CON,CHALLENGER,147.12,76.5,223.62,,,1413.62,1413.62,1326.32,,,1326.32,,87.3,1413.62,1326.32,
"TONKO, PAUL DAVID",H,NY,DEM,INCUMBENT,294967.05,125089.19,420056.24,,685291.44,1105347.68,1109199.08,503149.6,717.16,287085.74,826666.79,456698.26,739230.55,1104630.52,502944.3,Y
"TOOMEY, PATRICK JOSEPH",S,PA,REP,INCUMBENT,12060600,3292032,15352636,52986,3586226,18991849,20176375,24248456,337957,5825,24592239,5824553,1408690,18653891,24201527,Y
"TOPPING, BRIAN KEITH",P,US,NNE,OPEN,,,,,,569.75,569.75,1139.5,,,1139.5,100,-127.9,227.9,455.8,
"TORRES, NORMA",H,CA,DEM,INCUMBENT,146131.92,3847.52,149979.44,30.88,413717.84,563728.16,566104.93,293312.95,,78585.48,371898.43,55092.06,249298.64,563728.16,292943.07,Y
"TOTH, STEVE",H,TX,REP,CHALLENGER,152148.9,16139.5,168288.4,,,168288.4,174147.65,173987.65,,160,174147.65,,,168288.4,173987.65,
"TOWNSEND, BRYAN",H,DE,DEM,OPEN,583829.8,110569.82,694399.62,1100,53750,749249.62,769354.68,756661.26,200,,756861.26,,12493.42,749049.62,756556.2,
"TRACHTENBERG, DUCHY",H,MD,DEM,CHALLENGER,,,10500,,,10500,10500,10844,,,10000,,,,844,
"TRIBBLE, CLINT",H,TN,REP,CHALLENGER,,185,185,,,23754.8,56332.8,49100.5,916.98,4800.02,54817.5,,-1806.18,22837.82,46522.5,
"TRONE, DAVID",H,MD,DEM,OPEN,,6726.45,6726.45,,,13420951.45,13421964.36,13382840.19,,3450,13386290.19,,35674.17,13420951.45,13381923.77,
"TROTT, DAVID A",H,MI,REP,INCUMBENT,791995.73,8085,800080.73,,372721.13,1192534.1,1219562.91,750751.94,4490,,779741.94,50448.01,490268.98,1188044.1,723723.13,Y
"TRUITT, PAUL EDWARD DVM",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"TRUMP, DONALD J. / MICHAEL R. PENCE ",P,US,REP,OPEN,38152988,67646891,105799882.7,4832.88,87905.5,114492189.3,254957194.9,238374891.3,406776.69,,238962741.4,,15994453.57,468441873.4,923650997.6,Y
"TRYON, STEPHEN P.",H,UT,DEM,CHALLENGER,5250,8221.79,13471.79,,,38992.7,48792.7,10000,,37255.1,47255.1,11.34,4321.78,38992.7,10000,
"TSONGAS, NICOLA S",H,MA,DEM,INCUMBENT,633028.07,111799.76,744827.83,,368324.8,1113152.63,1156213.3,825216.5,10113.8,229869.54,1065199.84,401337.73,492351.19,1103038.83,825206.83,Y
"TUCK, MICKEY",H,GA,REP,CHALLENGER,7832,,6757,,,7832,12632,12325,,,12325,,305,6337,12325,
"TUCKER, PAMELA Z",H,NH,REP,CHALLENGER,66020,7690.55,73710.55,,,75710.55,100710.55,26915.26,73205,,100120.26,,590.29,2505.55,26915.26,
"TURK, JACOB",H,MO,REP,CHALLENGER,91748,6572,98320,,,98320,99020.53,79631.21,,,79631.21,-528.73,18860.59,98320,79430.68,
"TURNER, DANNY REID",H,CA,REP,CHALLENGER,250,282.75,532.75,,,532.75,632.75,632.75,,,632.75,,,532.75,632.75,
"TURNER, INGRID",H,MD,DEM,OPEN,47259,47123,94382,,,97107,317115.47,68941.63,,28173.84,317115.47,,,97107,68941.63,
"TURNER, MICHAEL R",H,OH,REP,INCUMBENT,457434.31,23825.1,481259.41,,491290,972628.27,978279.47,972599.18,1700,52950,1027249.18,413638.96,364669.25,970928.27,969561.01,Y
"TURNER, RICHARD L",H,HI,NON,CHALLENGER,,,,,,,,,,,,,66.34,,,
"TYRREL, CHARLES T.",H,WY,REP,OPEN,5600,1350,6950,,,6950,36950,39085.98,,,39085.98,,-2135.98,6950,39085.98,
"UHRIC, RAYMOND JOHN",P,US,DEM,OPEN,,,,,,,,828,,,828,,,,,
"UNZ, RON",S,CA,REP,OPEN,1200,2441,3641,,,69151,69151,69149,,,69149,,,69151,69149,
"UPTON, FREDERICK STEPHEN",H,MI,REP,INCUMBENT,728789,59656,788445,,1934644,2723089,2835816.64,1821854.41,3350,,1825204.41,54922.25,1065534.48,2719739,1802224.46,Y
"VAKIL, TEJAS",H,TX,DEM,CHALLENGER,5401,1580,6981,,,46102.36,54102.36,48743.89,450,,54102.36,,,45652.36,48743.89,
"VALADAO, DAVID",H,CA,REP,INCUMBENT,1042133.3,67506.02,1109639.32,2000,1360628.71,2472268.03,2482162.7,1757531.19,13785,20060.69,1791376.88,87286.45,778072.27,2458483.03,1757531.19,Y
"VALDES, ALINA",H,FL,DEM,CHALLENGER,6330.23,16119.98,22450.21,,750,23200.21,36445.21,31413.82,3.05,105,31521.87,,4923.34,23197.16,31413.82,
"VALENTINE, JAMES",P,US,NNE,OPEN,,,,,,,52600,7545.01,,,7545.01,,45054.99,,22635.03,
"VAN GLAHN, RICHARD EDWARD",H,NJ,REP,CHALLENGER,24050,7080,31230,,,31230,44280,31004,,220,44229,,,31230,31004,
"VAN HOLLEN, CHRIS",S,MD,DEM,OPEN,7529841,782060,8311904,19,1334497,9646422,11518110,9900376,60416,21345,9998137,,1379185,9586006,9863844,Y
"VANASSCHE, DAVID JAMES",H,MI,REP,OPEN,15789.73,4134.01,19923.74,,,19923.74,170991.74,170829.76,,,170829.76,,161.98,19923.74,170511.76,
"VANCE, CHRIS",S,WA,REP,CHALLENGER,258460,163956,422416,217,3050,425716,426766,412160,,,412360,,22499,425716,412160,
"VANDERSAND, ETHAN",H,IL,REP,CHALLENGER,1470,515.51,1985.51,300,,21371.59,21371.59,19873.62,1497.97,,21371.59,,,19873.62,19873.62,
"VARASTEH, RON",H,CA,DEM,CHALLENGER,4526.8,7066.56,11593.36,100,1000,12693.36,37693.36,13330.04,,,88330.04,80372.46,29735.78,12693.36,13330.04,
"VARGAS, CALANDRA",H,CO,REP,CHALLENGER,14400,7366.52,21766.52,,,21810.52,21810.52,21810.52,,,21810.52,,,21810.52,21810.52,
"VARGAS, JUAN C.",H,CA,DEM,INCUMBENT,195516,2736.32,198252.32,76.27,736250,934578.59,1065361.37,445315.17,1000,260352.66,905936.67,10613.71,170038.41,933578.59,443689.05,Y
"VEASEY, MARC ALLISON MR.",H,TX,DEM,INCUMBENT,630877.9,26305,657182.9,,621482.45,1278665.35,1283520.76,1102132.5,300,,1102432.5,204645.09,385733.35,1278365.35,1097277.09,Y
"VEGA, ISAAC ADAM MR.",P,US,W,OPEN,,,,,,,,,,,,,,,,
"VELA, FILEMON MR.",H,TX,DEM,INCUMBENT,645841.17,5445.81,651286.98,,540310.44,1191597.42,1200324.16,396130.87,13450,484653.82,894234.69,58730.44,364819.91,1178147.42,387404.13,Y
"VELAZQUEZ, NYDIA M",H,NY,DEM,INCUMBENT,281775,18858.8,300633.8,,419450,720083.8,720083.8,659568.83,,238455,898023.83,239719.87,61779.84,720083.8,659568.83,Y
"VELTMEYER, JAMES",H,CA,REP,CHALLENGER,93962.07,12224,106186.07,,,106186.07,118686.07,114925.19,2100,,117025.19,,1660.88,104086.07,114925.19,
"VENTRELLA, TONY",H,WA,DEM,CHALLENGER,5350,11599.58,16949.58,,550,24340.8,27145.73,19950.02,470,,22920.02,,8673.31,23870.8,19645.09,
"VERNON, MONICA W",H,IA,DEM,CHALLENGER,1572443.09,290196.91,1862640,15000,519554.99,2397194.99,2574611.86,2386896.03,10436.41,70,2415602.44,,159009.42,2386758.58,2378279.16,
"VILLARREAL, JAMES",H,AZ,DEM,CHALLENGER,3750,1017,4767,,2700,7467,10633.02,9883.02,750,,10633.02,,,6717,9883.02,
"VILLARREAL, RUBEN OSCAR MR.",H,TX,REP,OPEN,53820.11,18053,71873.11,,,71913.11,80513.11,78916.91,30.38,,78947.29,,1114.24,71882.73,78916.91,
"VINCE, LOU",H,CA,DEM,CHALLENGER,60593.42,23150.92,83744.34,,9810.81,93555.15,93719.65,93555.15,,,93719.65,,,93555.15,93555.15,
"VINEBERG, SCOTT",S,CA,IND,OPEN,,,,,,,10000,,,,10000,,,,,
"VISCLOSKY, PETER J.",H,IN,DEM,INCUMBENT,292359.18,1.9,292361.08,2500,613826.28,908687.36,908710.99,581809.79,100,251279,833188.79,260968.6,336490.8,908587.36,581809.79,Y
"VIVONI, MIGUEL HERNANDEZ",H,PR,OTH,OPEN,22000,,22000,,,22000,22000,27285.23,,,27285.23,4802.65,-482.58,22000,27285.23,
"VODVARKA, JOSEPH JOHN",S,PA,DEM,CHALLENGER,8108,3500,3500,1083,,33334,78735.94,33334,,,73659.4,200,176,32251,33334,
"VOGT, DAVID E III",H,MD,REP,CHALLENGER,49287,14058.6,63345.6,,,65845.6,65845.6,59095.14,5400,,65095.14,,750.46,60445.6,59095.14,
"VOLPE, FRANK PASQUALE JR.",H,OK,REP,CHALLENGER,8954.8,5616.87,14571.67,,,15191.67,15491.67,15023.95,,,15023.95,,467.72,15191.67,14723.95,
"VOWELL, EDWARD F.",H,IL,DEM,CHALLENGER,5450,1800,7250,,,41819.28,41819.28,42913.28,3906,,46819.28,,-5000,37913.28,42913.28,
"WADE, MICHAEL LEO",H,VA,REP,CHALLENGER,77949,9903,87852,5000,2725,95577,116577,112488.98,,,112488.98,,4088.02,95577,112488.98,
"WAGER, MICHAEL",H,OH,DEM,CHALLENGER,176478.64,29456.65,205935.29,,19800,226648.73,232086.19,197156.1,100,11845,209101.1,7188.01,30173.1,226548.73,191718.64,
"WAGNER, ANN L.",H,MO,REP,INCUMBENT,1047225,7985.7,1055210.7,,1155750,2210960.7,2215186.1,1122537.65,8200,24600,1205337.65,1368888.91,2378737.36,2202760.7,1118312.25,Y
"WAKELY, THOMAS MR.",H,TX,DEM,CHALLENGER,14400,29645,44045,,8300,52345,64497,56307,,6005,62313,,1940,52345,56307,
"WALBERG, TIMOTHY L HON.",H,MI,REP,INCUMBENT,936063.06,112722.63,1048785.69,5085,1019519,2073389.69,2229773.63,1750406.16,2900,6329.9,1762636.06,319455.36,786592.93,2070489.69,1750406.16,Y
"WALDEN, GREGORY P MR.",H,OR,REP,INCUMBENT,827711.91,141725.12,969437.03,,2042913.61,3012350.64,3134128.86,1937694.04,7700,921525.73,2866919.77,997259.73,1264468.82,3004650.64,1911215.54,Y
"WALKER, BRADLEY MARK",H,NC,REP,INCUMBENT,427511,36183.75,463694.75,1000,353756.88,818713.63,836000.16,539524.03,25060,37024.25,601608.28,14792.36,249184.24,793653.63,522237.5,Y
"WALKER, SCOTT",P,US,REP,OPEN,5383854,2953267,8337120.15,,60800,8397920.15,9041496.4,8550297.11,461028,,9011325.11,,30171.29,84600522.3,85622863.11,
"WALKINSHAW, BRADY PINERO",H,WA,DEM,OPEN,1393414.87,207137.74,1600552.61,1758.14,28600,1637060.75,1638389.42,1496466.34,6700,70,1503236.34,,135153.08,1630360.75,1495137.67,
"WALLACE, NANCY",H,MD,GRE,OPEN,7211.6,2100.51,9312.11,,300,9612.11,11935.2,6895.96,,99,8317.96,,3617.24,9612.11,6895.96,
"WALLIN, CHARLIE",H,NC,DEM,CHALLENGER,2000,3571.09,5571.09,,,5571.09,5571.09,3831.09,,,5571.09,,,5571.09,3831.09,
"WALORSKI SWIHART, JACKIE",H,IN,REP,INCUMBENT,849541.89,90199.4,939741.29,,836804.69,1776545.98,1792480.55,1643630.35,4500,70088.51,1718218.86,238479.41,312741.1,1772045.98,1641565.77,Y
"WALSER, JASON ALBERT",H,NC,REP,CHALLENGER,65907.32,11198.61,77105.93,,6032.83,85002.54,85002.54,80592.13,1772.83,,82364.96,,2637.58,83229.71,80592.13,
"WALTERS, MIMI",H,CA,REP,INCUMBENT,333355.62,44374.05,377729.67,,966100,1343829.67,1872941.56,1411981.38,3500,68250,1483731.38,106408.92,495619.1,1340329.67,1400947.54,Y
"WALTZ, DARRYL BRENT JR",H,IN,REP,OPEN,149425,2653.49,152078.49,25400,10000,187478.49,309603.49,283891.18,,23012.31,306903.49,,,187478.49,283891.18,
"WALZ, JIM",H,IL,DEM,CHALLENGER,10405,8171,18576,,2250,20826,21826,17363.45,2980,,20343.45,,1482.55,17846,17363.45,
"WALZ, TIMOTHY J",H,MN,DEM,INCUMBENT,557003.62,174407.59,731411.21,2067.25,729620,1463098.46,1485416.8,1223269.95,1100,22653,1247122.95,79298.63,317592.48,1461998.46,1201879.38,Y
"WALZ-ALLEN, MIRANDA",H,KS,IND,CHALLENGER,40200,3888.86,44088.86,,,44088.86,100207.45,75299.67,,,75299.67,,24907.45,44088.86,75299.67,
"WARD, ELLA PORTER",H,VA,DEM,CHALLENGER,32100,14164.75,46264.75,,1600,47864.75,49516.45,34331.98,,9027.5,43359.48,,6156.97,47864.75,34331.98,
"WARD, KELLI",S,AZ,REP,CHALLENGER,899868,504681,1404550,,37091,1475241,1591465,1516739,17140,,1533879,,57586,1458101,1515515,
"WARREN, ANDREW L",H,PA,REP,OPEN,8400,8460,1400,,,18860,40860,16638,,120,40858,,,18860,10022,
"WATERS, MAXINE MS",H,CA,DEM,INCUMBENT,121855,8192.3,130047.3,,489500,619547.3,819617.3,561642.17,1125,159050,721817.17,277786.91,375142.93,618422.3,561642.17,Y
"WATSON, JERRY B",S,NJ,REP,CHALLENGER,,,,,,5559,12014,7655,,,13110,1596,500,5559,7655,
"WAYNE, WALTER MR.",P,US,NNE,OPEN,,,,,,28.51,28.51,28.51,,,28.51,,,28.51,28.51,
"WEAVER, KIMBERLY",H,IA,DEM,CHALLENGER,52040,73198.14,125238.14,,16100,141338.14,146340.5,101503.47,25,2346,103874.47,,44346.64,141313.14,101503.47,
"WEBB, JAMES",P,US,UNK,OPEN,440496,331082,771578.43,,5000,776578.43,776828.43,756875.99,20.16,9265,766161.15,,10667.28,3789938.81,3186626.99,
"WEBB, JOHN E",H,MO,REP,CHALLENGER,9100,4056,13156,,,13156,14656,15078,,,15578,1512,584,13156,14953,
"WEBB, MICHAEL DAVID",H,VA,REP,CHALLENGER,12436.28,748.42,13184.7,,,13184.7,13184.7,11585.21,,,11585.21,,,13184.7,11585.21,
"WEBER, RANDY",H,TX,REP,INCUMBENT,381699.77,18875.47,400575.24,10000,172550,583125.24,583386.09,408174.71,4465.14,41433,492292.85,209896.87,367487.27,578660.1,407983.89,Y
"WEBSTER, DANIEL",H,FL,REP,INCUMBENT,504415.07,117792.79,622207.86,,213850,836057.86,836222.01,785308.58,5400,131000,921708.58,162472.14,76985.57,830657.86,785298.58,Y
"WEGMAN, GARY",H,PA,DEM,OPEN,3999.97,100,4099.97,,,6599.97,6599.97,7099.97,,,7099.97,500,,6599.97,7099.97,
"WEISS, JUDD",P,US,LIB,OPEN,11800,4205,16005,,0.6,24991,24991,24991,,,24991,,,24991,24991,
"WEISSER, MIKEL",H,AZ,DEM,CHALLENGER,20865.26,10652.32,31517.58,,250,31767.58,32267.58,27671.67,,907.25,28578.92,2719.03,6407.69,31767.58,27671.67,
"WELCH, PETER",H,VT,DEM,INCUMBENT,284400.84,,284400.84,,678977.64,963378.48,972766.09,338437.81,,18600,687537.81,1689575.27,1974803.55,963378.48,337926.2,Y
"WELLS, ROBERT CARR JR",P,US,DEM,OPEN,16344,,,,,16344,16344,47987,,,47987,223,13,,,
"WELLS, STEVEN M",H,NY,REP,OPEN,434617.4,14174,448791.4,,35200,483991.4,849781.65,766123.15,77600,,843723.15,,6058.5,406391.4,762832.9,
"WELLS, THOMAS BECKWITH",H,FL,DEM,CHALLENGER,,316,316,,,7916,7916,7490.01,,,7490.01,,425.99,7916,7490.01,
"WELSH, BARRY",H,IN,DEM,CHALLENGER,318.01,367,685.01,3499,,4184.01,4606.51,5676.19,,,5676.19,1209.7,140.02,4184.01,5253.69,
"WENKE, LAURENCE RAYMOND",H,MI,LIB,CHALLENGER,,,,,,,,6726.98,,,6726.98,100000,93273.02,,10464.76,
"WENSTRUP, BRAD DR.",H,OH,REP,INCUMBENT,607116.37,87414.18,694530.55,,366375,1060905.55,1069832.71,726805.03,10059.84,49750.7,786615.57,267245.85,550462.99,1050845.71,726661.67,Y
"WEST, BENJAMIN",H,OR,REP,CHALLENGER,38200,5711,43911,,,46952,47138.87,43853.96,2000,1284.91,47138.87,,,44952,43667.09,
"WEST, WARREN PHILIP",P,US,REP,OPEN,,,,,,200,,96,,,96,200,103,,,
"WESTBROOK, CORRY",H,FL,DEM,CHALLENGER,16671.21,9250.39,25921.6,,,25921.6,36521.6,25738.72,,19000,53768.39,29231.83,6697.87,25921.6,25738.72,
"WESTERMAN, BRUCE MR.",H,AR,REP,INCUMBENT,285692,27819.99,313511.99,,360210,673721.99,673735.26,358597.56,1000,64350,423947.56,92201.41,341989.11,672721.99,358584.29,Y
"WESTLEY, TIMMY LEE",H,TX,REP,OPEN,10257,38,10295,1000,,14411,14585,12047,1000,,13173,1,601,10815,8606,
"WESTLUND, KELLY",H,WI,DEM,CHALLENGER,25,384.31,409.31,,,409.31,1453.2,2721.25,,,2721.25,1268.03,83.14,409.31,1677.36,
"WHALLON, ANDREW",H,CA,REP,CHALLENGER,2300,3190,5490,,250,5740,67698.65,65765.67,,,65765.67,498.48,2431.46,5740,65307.02,
"WHARTON, RICHARD SCOTT",H,OH,DEM,CHALLENGER,10834,1930,12764,200,,12964,29964,28950.09,,,28950.09,,-1869.09,12964,28944.09,
"WHITAKER, BOB",P,US,NNE,OPEN,3117,1209,4326.29,,,4326.29,4949.11,4286.64,,,4286.64,,662.47,4326.29,4286.64,
"WHITE, HERMAN",H,IL,REP,CHALLENGER,51625,4570,56195,,,56195,77295,77256.85,,,77256.85,,38.15,56195,76256.85,
"WHITE, JAMES LLOYD",H,MO,DEM,CHALLENGER,1400,2520,3920,50,840.41,4810.41,9815.47,6646.27,,43.05,6689.32,,,4810.41,6646.27,
"WHITE, KEVIN FRANCIS LT COL",H,OH,REP,OPEN,1750,1300,3050,,,3100,20000,19982.85,,,20000,,,3100,19982.85,
"WHITED, JOE",H,VA,REP,OPEN,41000,6345,47345,,,47345,55177.57,51036.09,,,51036.09,,1941.9,47345,51036.09,
"WHITWELL, ROBERT QUENTIN JR",H,MS,REP,OPEN,138368.21,14052.06,152420.27,,2500,217570.27,218790.27,217740.27,1000,,218740.27,,,216570.27,217740.27,
"WICHERN, MARK",H,FL,REP,OPEN,10922,3067,13989,,,34026,79026,71495,,,76745,57.35,4686,34026,71495,
"WICKLUND, MARK DAVID",H,IL,DEM,CHALLENGER,2753,5566.19,8319.19,,275,26014.12,26014.12,23337.01,,,23337.01,,1752.11,26014.12,23337.01,
"WIESNER, PATRICK",S,KS,DEM,CHALLENGER,5241,894,6135,,,15026,35026,29603,,,29603,2653,8070,15026,29603,
"WILDER, SELLUS",S,KY,DEM,CHALLENGER,35386,31291,66677,,,67330,67330,60715,100,,60815,,6514,67230,60715,
"WILDES, MICHAEL",H,NJ,DEM,CHALLENGER,16700,,16700,,,16700,40745.54,2655,,,2655,714909.36,752999.9,16700,2624,
"WILLIAMS, CLYDE EDWARD JR",H,NY,DEM,OPEN,493826.5,20399.77,514226.27,,4700,527951.27,527951.27,471351.27,56600,,527951.27,,,471351.27,471351.27,
"WILLIAMS, DAVID EARL III",H,IL,IND,CHALLENGER,54225,2437,56662,200,,90556.66,90556.66,79232.66,,2065,81297.66,4164.02,13423.02,90556.66,79232.66,
"WILLIAMS, ELAINE WHIGHAM",P,US,DEM,OPEN,5000,,5000,,2,5000,5000,508,,,378,,4992,,348,
"WILLIAMS, GUS MR.",P,US,DEM,OPEN,,,,,,,,,,,,,,,,
"WILLIAMS, JARROD M.",S,NV,IND,OPEN,767,144,901,,,2277,2277,2261,10,,2261,,16,2277,2261,
"WILLIAMS, JAY HENLEY",S,SD,DEM,CHALLENGER,29873,14994,44857,,15800,60657,60657,42494,,4188,46684,,13971,60657,42494,
